state	chamber	forecastyear	forecastmonth	forecastday	source	electionyear	jacobsonforecast	jacobsonforecastnumeric	note
"Kansas"	"house"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Safe R"	"1"	""
"Kentucky"	"senate"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Lean R"	"3"	""
"Kentucky"	"house"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Safe D"	"7"	""
"Louisiana"	"senate"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2003.0	"Likely D"	"6"	""
"Louisiana"	"house"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2003.0	"Safe D"	"7"	""
"Maine"	"senate"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Lean D"	"5"	""
"Maine"	"house"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Safe D"	"7"	""
"Maryland"	"senate"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Safe D"	"7"	""
"Maryland"	"house"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Safe D"	"7"	""
"Massachusetts"	"senate"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Safe D"	"7"	""
"Massachusetts"	"house"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Safe D"	"7"	""
"Michigan"	"senate"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Lean R"	"3"	""
"Michigan"	"house"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Lean R"	"3"	""
"Minnesota"	"senate"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Likely D"	"6"	""
"Minnesota"	"house"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Lean R"	"3"	""
"Mississippi"	"senate"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2003.0	"Safe D"	"7"	""
"Mississippi"	"house"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2003.0	"Safe D"	"7"	""
"Missouri"	"senate"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Lean R"	"3"	""
"Missouri"	"house"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Toss-up"	"4"	""
"Montana"	"senate"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Safe R"	"1"	""
"Montana"	"house"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Likely R"	"2"	""
"Nebraska"	"senate"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Non-partisan"	""	""
"Nebraska"	"house"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Unicameral legislature"	""	""
"Nevada"	"senate"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Lean R"	"3"	""
"Nevada"	"house"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Likely D"	"6"	""
"New Hampshire"	"senate"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Lean R"	"3"	""
"New Hampshire"	"house"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Safe R"	"1"	""
"New Jersey"	"senate"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2003.0	"Toss-up"	"4"	""
"New Jersey"	"house"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2003.0	"Lean D"	"5"	""
"New Mexico"	"senate"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Lean D"	"5"	""
"New Mexico"	"house"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Safe D"	"7"	""
"New York"	"senate"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Safe R"	"1"	""
"New York"	"house"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Safe D"	"7"	""
"North Carolina"	"senate"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Toss-up"	"4"	""
"North Carolina"	"house"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Toss-up"	"4"	""
"North Dakota"	"senate"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Safe R"	"1"	""
"North Dakota"	"house"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Safe R"	"1"	""
"Ohio"	"senate"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Safe R"	"1"	""
"Ohio"	"house"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Safe R"	"1"	""
"Oklahoma"	"senate"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Safe D"	"7"	""
"Oklahoma"	"house"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Toss-up"	"4"	""
"Oregon"	"senate"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Toss-up"	"4"	""
"Oregon"	"house"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Toss-up"	"4"	""
"Pennsylvania"	"senate"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Likely R"	"2"	""
"Pennsylvania"	"house"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Lean R"	"3"	""
"Rhode Island"	"senate"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Safe D"	"7"	""
"Rhode Island"	"house"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Safe D"	"7"	""
"South Carolina"	"senate"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Lean R"	"3"	""
"South Carolina"	"house"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Safe R"	"1"	""
"South Dakota"	"senate"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Safe R"	"1"	""
"South Dakota"	"house"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Safe R"	"1"	""
"Tennessee"	"senate"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Lean D"	"5"	""
"Tennessee"	"house"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Likely D"	"6"	""
"Texas"	"senate"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Likely R"	"2"	""
"Texas"	"house"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Likely R"	"2"	""
"Utah"	"senate"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Safe R"	"1"	""
"Utah"	"house"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Safe R"	"1"	""
"Vermont"	"senate"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Lean D"	"5"	""
"Vermont"	"house"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Likely R"	"2"	""
"Virginia"	"senate"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2003.0	"Lean R"	"3"	""
"Virginia"	"house"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2003.0	"Safe R"	"1"	""
"Washington"	"senate"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Toss-up"	"4"	""
"Washington"	"house"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Toss-up"	"4"	""
"West Virginia"	"senate"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Safe D"	"7"	""
"West Virginia"	"house"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Safe D"	"7"	""
"Wisconsin"	"senate"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Lean D"	"5"	""
"Wisconsin"	"house"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Lean R"	"3"	""
"Wyoming"	"senate"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Safe R"	"1"	""
"Wyoming"	"house"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Safe R"	"1"	""
"Alabama"	"senate"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"NO ELECTIONS"	""	""
"Alabama"	"house"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"NO ELECTIONS"	""	""
"Alaska"	"senate"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Likely R"	"2"	""
"Alaska"	"house"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Safe R"	"1"	""
"Arizona"	"senate"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Likely R"	"2"	""
"Arizona"	"house"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Likely R"	"2"	""
"Arkansas"	"senate"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Safe D"	"7"	""
"Arkansas"	"house"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Safe D"	"7"	""
"California"	"senate"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Safe D"	"7"	""
"California"	"house"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Safe D"	"7"	""
"Colorado"	"senate"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Lean R"	"3"	""
"Colorado"	"house"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Likely R"	"2"	""
"Connecticut"	"senate"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Safe D"	"7"	""
"Connecticut"	"house"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Safe D"	"7"	""
"Delaware"	"senate"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Safe D"	"7"	""
"Delaware"	"house"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Safe R"	"1"	""
"Florida"	"senate"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Safe R"	"1"	""
"Florida"	"house"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Safe R"	"1"	""
"Georgia"	"senate"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Lean R"	"3"	""
"Georgia"	"house"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Likely D"	"6"	""
"Hawaii"	"senate"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Safe D"	"7"	""
"Hawaii"	"house"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Safe D"	"7"	""
"Idaho"	"senate"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Safe R"	"1"	""
"Idaho"	"house"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Safe R"	"1"	""
"Illinois"	"senate"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Safe D"	"7"	""
"Illinois"	"house"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Safe D"	"7"	""
"Indiana"	"senate"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Safe R"	"1"	""
"Indiana"	"house"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Toss-up"	"4"	""
"Iowa"	"senate"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Lean R"	"3"	""
"Iowa"	"house"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Lean R"	"3"	""
"Kansas"	"senate"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Safe R"	"1"	""
"Kansas"	"house"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Safe R"	"1"	""
"Kentucky"	"senate"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Likely R"	"2"	""
"Kentucky"	"house"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Likely D"	"6"	""
"Louisiana"	"senate"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"NO ELECTIONS"	""	""
"Louisiana"	"house"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"NO ELECTIONS"	""	""
"Maine"	"senate"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Toss-up"	"4"	""
"Maine"	"house"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Likely D"	"6"	""
"Maryland"	"senate"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"NO ELECTIONS"	""	""
"Maryland"	"house"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"NO ELECTIONS"	""	""
"Massachusetts"	"senate"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Safe D"	"7"	""
"Massachusetts"	"house"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Safe D"	"7"	""
"Michigan"	"senate"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"NO ELECTIONS"	""	""
"Michigan"	"house"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Likely R"	"2"	""
"Minnesota"	"senate"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"NO ELECTIONS"	""	""
"Minnesota"	"house"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Safe R"	"1"	""
"Mississippi"	"senate"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"NO ELECTIONS"	""	""
"Mississippi"	"house"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"NO ELECTIONS"	""	""
"Missouri"	"senate"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Likely R"	"2"	""
"Missouri"	"house"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Likely R"	"2"	""
"Montana"	"senate"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Lean R"	"3"	""
"Montana"	"house"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Lean R"	"3"	""
"Nebraska"	"senate"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Non-partisan"	""	""
"Nebraska"	"house"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Unicameral legislature"	""	""
"Nevada"	"senate"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Likely R"	"2"	""
"Nevada"	"house"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Lean D"	"5"	""
"New Hampshire"	"senate"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Safe R"	"1"	""
"New Hampshire"	"house"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Safe R"	"1"	""
"New Jersey"	"senate"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"NO ELECTIONS"	""	""
"New Jersey"	"house"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"NO ELECTIONS"	""	""
"New Mexico"	"senate"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Likely D"	"6"	""
"New Mexico"	"house"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Safe D"	"7"	""
"New York"	"senate"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Safe R"	"1"	""
"New York"	"house"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Safe D"	"7"	""
"North Carolina"	"senate"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Lean D"	"5"	""
"North Carolina"	"house"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Toss-up"	"4"	""
"North Dakota"	"senate"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Safe R"	"1"	""
"North Dakota"	"house"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Safe R"	"1"	""
"Ohio"	"senate"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Safe R"	"1"	""
"Ohio"	"house"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Safe R"	"1"	""
"Oklahoma"	"senate"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Lean D"	"5"	""
"Oklahoma"	"house"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Lean D"	"5"	""
"Oregon"	"senate"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Lean D"	"5"	""
"Oregon"	"house"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Likely R"	"2"	""
"Pennsylvania"	"senate"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Likely R"	"2"	""
"Pennsylvania"	"house"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Likely R"	"2"	""
"Rhode Island"	"senate"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Safe D"	"7"	""
"Rhode Island"	"house"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Safe D"	"7"	""
"South Carolina"	"senate"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Safe R"	"1"	""
"South Carolina"	"house"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Safe R"	"1"	""
"South Dakota"	"senate"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Safe R"	"1"	""
"South Dakota"	"house"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Safe R"	"1"	""
"Tennessee"	"senate"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Lean D"	"5"	""
"Tennessee"	"house"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Lean D"	"5"	""
"Texas"	"senate"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Safe R"	"1"	""
"Texas"	"house"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Safe R"	"1"	""
"Utah"	"senate"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Safe R"	"1"	""
"Utah"	"house"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Safe R"	"1"	""
"Vermont"	"senate"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Safe D"	"7"	""
"Vermont"	"house"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Toss-up"	"4"	""
"Virginia"	"senate"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"NO ELECTIONS"	""	""
"Virginia"	"house"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"NO ELECTIONS"	""	""
"Washington"	"senate"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Toss-up"	"4"	""
"Washington"	"house"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Toss-up"	"4"	""
"West Virginia"	"senate"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Safe D"	"7"	""
"West Virginia"	"house"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Safe D"	"7"	""
"Wisconsin"	"senate"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Likely R"	"2"	""
"Wisconsin"	"house"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Likely R"	"2"	""
"Wyoming"	"senate"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Safe R"	"1"	""
"Wyoming"	"house"	2004.0	7.0	9.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Safe R"	"1"	""
