CAND_ID,CAND_NAME,CAND_ICI,PTY_CD,CAND_PTY_AFFILIATION,TTL_RECEIPTS,TRANS_FROM_AUTH,TTL_DISB,TRANS_TO_AUTH,COH_BOP,COH_COP,CAND_CONTRIB,CAND_LOANS,OTHER_LOANS,CAND_LOAN_REPAY,OTHER_LOAN_REPAY,DEBTS_OWED_BY,TTL_INDIV_CONTRIB,CAND_OFFICE_ST,CAND_OFFICE_DISTRICT,SPEC_ELECTION,PRIM_ELECTION,RUN_ELECTION,GEN_ELECTION,GEN_ELECTION_PRECENT,OTHER_POL_CMTE_CONTRIB,POL_PTY_CONTRIB,CVG_END_DT,INDIV_REFUNDS,CMTE_REFUNDS
H2AR03283,"HAYS, LAUREN",C,1,DEM,42061.76,0,38696.77,0,0,3364.99,5000,2700,0,900,0,1800,34186.76,AR,03,,,,,,0,175,09/30/2022,0,0
H0AR03055,"WOMACK, STEVE",I,2,REP,1405569.7,16946.27,810137.54,0,1363256.7,1958688.86,0,0,0,0,0,0,561614.5,AR,03,,,,,,811778.08,0,09/30/2022,1550,0
H2AR03143,"HENDREN, JAMES PAUL",C,2,REP,-4.87,0,19.96,0,93.61,68.78,0,-4.87,0,0,0,450137.83,0,AR,03,,,,,,0,0,09/30/2022,0,0
H2AR03275,"KUMAR, NEIL",C,2,REP,110333.24,0,110333.24,0,0,0,0,30000,0,461,0,29539,80123.24,AR,03,,,,,,210,0,07/05/2022,125,0
H0AR04087,"HANSON, WILLIAM MR.",C,1,DEM,0,0,929.98,0,-1915.51,-2845.49,0,0,0,0,0,70100,0,AR,04,,,,,,0,0,04/14/2021,0,0
H8AR04130,"SHAMEL, HAYDEN CATHERINE",C,1,DEM,0,0,21,0,112.18,91.18,0,0,0,0,0,0,0,AR,04,,,,,,0,0,01/13/2021,0,0
H2AR04083,"COTTON, THOMAS",C,2,REP,4652711.2,1343742.83,3069187.01,300,6396952.99,7980477.18,0,0,0,0,0,77959,3185450.15,AR,04,,,,,,107500,0,09/30/2022,3000,0
H4AR04048,"WESTERMAN, BRUCE",I,2,REP,1670264.7,49426.59,945219.87,0,976806.01,1701850.84,0,0,0,0,0,0,784003.61,AR,04,,,,,,827800,0,09/30/2022,6400,3500
H4AS00036,"AMATA, AUMUA",I,2,REP,51200,5000,46104.94,10000,518.03,5613.09,0,0,0,0,0,0,15900,AS,00,,,,,,29900,0,09/30/2022,0,0
H0AZ01358,"PUTZOVA, EVA",C,1,DEM,0,0,8353.84,0,20883.26,12529.42,0,0,0,0,0,0,0,AZ,01,,,,,,0,0,09/30/2022,0,0
H2AZ01404,"TORRES, GINGER SYKES",C,1,DEM,124921.97,1000,129544.06,0,0,-4622.09,0,0,0,0,0,0,117921.97,AZ,01,,,,,,6000,0,10/19/2022,3150,0
H2AZ06221,"HODGE, JEVIN D",C,1,DEM,1906135.23,10568.65,1050617.86,0,0,855517.37,0,0,0,0,0,0,1622542.27,AZ,01,,,,,,266597.36,0,09/30/2022,6011.2,0
H2AZ06254,"WILLIAMSON, W (WALTER) JOHN",C,1,DEM,1150,0,289.73,0,0,860.27,100,0,0,0,0,0,1050,AZ,01,,,,,,0,0,09/30/2022,0,0
H2AZ06270,"METZENDORF, ADAM",C,1,DEM,308020.36,0,244053.21,0,0,63967.15,77899.97,0,0,0,0,0,226920.39,AZ,01,,,,,,0,0,09/30/2022,2114,0
H0AZ07082,"BARNETT, JOSH",C,2,REP,60275.85,0,62912.51,0,4561.11,1924.45,0,0,0,0,0,0,60275.85,AZ,01,,,,,,0,0,07/20/2022,0,0
H2AZ01172,"RENZI, RICHARD G.",I,2,REP,0,0,1244.79,0,1244.79,0,0,0,0,0,0,456157.37,0,AZ,01,,,,,,0,0,09/30/2022,0,0
H2AZ01347,"MOORE FOR AZ, JOHN W",C,2,REP,181611.56,0,181611.56,0,0,0,0,133609,0,4158.16,0,140.9,47929.19,AZ,01,,,,,,0,0,09/30/2022,9000,0
H2AZ01370,"YATES, ANDY",C,2,REP,114706,0,108528.28,0,0,6177.72,212,100000,0,90000,0,10000,14494,AZ,01,,,,,,0,0,09/30/2022,0,0
H2AZ06247,"NORTON, ELIJAH",C,2,REP,5411314.27,0,5398455.02,0,0,12859.25,109097.32,4700000,0,0,0,4700000,600866.95,AZ,01,,,,,,0,0,09/30/2022,240855,0
H4AZ01145,"KIEHNE, GARY",C,2,REP,0,0,0,0,0,0,0,0,0,0,0,0,0,AZ,01,,,,,,0,0,08/11/2022,0,0
H8AZ01237,"SHEDD, TIFFANY",C,2,REP,14147.49,1432.83,76358.6,0,63347.13,1136.02,0,0,0,67000,0,228140.37,-48.13,AZ,01,,,,,,0,0,09/30/2022,0,0
H0AZ02281,"QUILTER, PETER",C,1,DEM,0,0,1816,1048,1816,0,0,0,0,0,0,0,0,AZ,02,,,,,,0,0,12/31/2021,0,0
H2AZ02329,"FRIESE, RANDALL S.",C,1,DEM,705957.71,0,705957.71,0,0,0,0,0,0,0,0,0,693011.72,AZ,02,,,,,,12000,0,03/09/2022,290120.45,0
H6AZ01199,"O'HALLERAN, TOM",I,1,DEM,3742987.44,65913.19,1966607.53,0,63147.21,1839527.12,0,0,0,0,0,0,2320145.94,AZ,02,,,,,,1312432.01,23512.33,09/30/2022,27916.29,5900
H8AZ02136,"HEINZ, MATTHEW GERALD",O,1,DEM,0,0,0,0,0,0,0,0,0,0,0,250000,0,AZ,02,,,,,,0,0,09/30/2022,0,0
H0AZ02182,"MORGAN, JOSEPH DAVID",C,2,REP,0,0,321,0,556.91,241.91,0,0,0,0,0,0,0,AZ,02,,,,,,0,0,09/30/2021,0,0
H0AZ02190,"MARTIN, BRANDON RAY",C,2,REP,785.08,0,606.19,0,-178.89,0,0,0,0,0,0,0,5,AZ,02,,,,,,0,0,09/20/2021,0,0
H0AZ02232,"STAUTZ, SHAY",C,2,REP,0,0,6589.23,0,6589.23,0,0,0,0,6189.23,0,0,0,AZ,02,,,,,,0,0,02/04/2022,0,0
H2AZ01339,"BLACKMAN, WALTER JACK",C,2,REP,1163969.62,0,1151626.08,0,0,12343.54,0,0,0,0,0,0,1097085.63,AZ,02,,,,,,10750,0,09/30/2022,60150,0
H2AZ01354,"CRANE, ELI",C,2,REP,3142452.18,295293.74,2573589.04,109501.39,0,568863.14,0,100000,0,0,0,100000,2594154.16,AZ,02,,,,,,150400,0,09/30/2022,2032.79,0
H2AZ01362,"WATKINS, RONALD",C,2,REP,262318.38,0,262318.38,0,0,0,0,95000,0,47500,0,0,167136.41,AZ,02,,,,,,0,0,09/30/2022,4902,0
H2AZ02352,"LOWELL, DOUGLAS",O,2,REP,278696.15,0,278696.15,0,0,0,0,250000,0,86279.78,0,0,28389.76,AZ,02,,,,,,0,0,02/02/2022,0,0
H2AZ02386,"MARTIN, BRANDON MR.",O,2,REP,160276.51,0,155224.46,0,0,5052.05,0,0,0,0,0,0,157476.51,AZ,02,,,,,,1000,0,09/30/2022,19898.15,0
H2AZ02394,"FREE, LUCRETIA",O,2,REP,16697.49,0,16697.49,0,0,0,3900,0,0,0,0,14061.09,11765,AZ,02,,,,,,1000,0,09/27/2022,0,0
H2AZ02402,"DELUZIO, MARK",O,2,REP,1336959.93,0,1331382.96,0,0,5576.97,113492.35,1075000,0,0,0,1125000,129952,AZ,02,,,,,,0,0,09/30/2022,15800,0
H2AZ02410,"KRYSTOFIAK, STEVEN",O,2,REP,529863.08,0,510811.16,0,0,19051.92,0,333200,0,0,0,333200,178680,AZ,02,,,,,,0,0,09/30/2022,176805,0
H2AZ02428,"LIZER, MYRON",O,2,REP,735.52,0,735.52,0,0,0,735.52,0,0,0,0,0,0,AZ,02,,,,,,0,0,04/14/2022,0,0
H2AZ08102,"MCSALLY, MARTHA",I,2,REP,0,0,0,0,0,0,0,0,0,0,0,0,0,AZ,02,,,,,,0,0,09/30/2022,0,0
H8AZ02201,"MARTIN, BRANDON RAY",O,2,REP,785.08,0,606.19,0,-178.89,0,0,0,0,0,0,0,5,AZ,02,,,,,,0,0,09/20/2021,0,0
H4AZ07043,"GALLEGO, RUBEN",I,1,DEM,2165130.37,15521.27,1427759.66,0,616971.05,1354341.76,0,0,0,0,0,0,1430114.5,AZ,03,,,,,,719325,0,09/30/2022,11110.29,0
H2AZ03152,"POZZOLO, LUIS B",C,2,REP,246884.2,0,166405.23,0,0,80478.97,0,175000,0,50000,0,125000,70775.32,AZ,03,,,,,,0,0,09/30/2022,0,0
H2AZ07187,"ZINK, JEFFREY NELSON MR",C,2,REP,68669.24,0,49840.84,0,0,18828.4,0,40000,0,0,0,40000,28169.24,AZ,03,,,,,,500,0,09/30/2022,0,0
H6AZ03179,"SAN MIGUEL, EDNA",C,2,REP,0,0,0,0,0,2583.43,0,0,0,0,0,0,0,AZ,03,,,,,,0,0,03/12/2021,0,0
H2AZ04192,"STAHL, JUDITH",C,1,DEM,260844.23,0,261679.59,0,0,-835.36,0,0,0,0,0,0,260844.23,AZ,04,,,,,,0,0,02/17/2022,11600,0
H8AZ09040,"STANTON, GREG",I,1,DEM,3885623.5,36276.95,2977131.36,0,1044654.6,1952894.74,0,0,0,0,0,0,2744987.51,AZ,04,,,,,,1095710.02,8171.32,09/30/2022,3589.63,2000
H2AZ04135,"GOULD, RON",C,2,REP,0,0,0,0,4473.28,4473.28,0,0,0,0,0,141741.2,0,AZ,04,,,,,,0,0,09/30/2022,0,0
H2AZ09175,"WHEELESS, TANYA CONTRERAS",C,2,REP,1282804.27,118132.06,1275701.57,0,0,7102.7,0,55000,0,0,0,55000,1055376.33,AZ,04,,,,,,52500,0,09/30/2022,195590.77,15000
H2AZ09183,"DAVISON, JERONE",C,2,REP,147395.23,0,146399.07,0,0,996.16,0,0,0,0,0,0,145857.33,AZ,04,,,,,,0,0,09/30/2022,600,0
H2AZ09191,"COOPER, KELLY",C,2,REP,2108398.55,164857.56,1853590.63,80868.95,0,254807.92,5810,1349279.68,0,630500,0,718779.68,482544.92,AZ,04,,,,,,101400,0,09/30/2022,3354.38,0
H0AZ05185,"RAMOS, JAVIER GARCIA MR.",C,1,DEM,9198.54,0,8595.23,0,0,603.31,1100,3500,0,0,0,3500,3957.65,AZ,05,,,,,,0,0,09/30/2022,0,0
H8AZ05154,"GREENE, JOAN",C,1,DEM,20769.36,0,25005.84,0,4236.48,0,0,0,0,0,0,126268.19,20769.36,AZ,05,,,,,,0,0,06/30/2021,50,0
H6AZ05083,"BIGGS, ANDY MR.",I,2,REP,1816542.14,14971.42,1715051.83,0,651046.86,752537.17,0,0,0,40000,0,0,1707052.48,AZ,05,,,,,,81800,0,09/30/2022,2823.22,0
H6AZ05091,"OLSON, JUSTIN",O,2,REP,0,0,0,0,0,0,0,0,0,0,0,99296.77,0,AZ,05,,,,,,0,0,09/30/2022,0,0
H2AZ05173,"SMITH, CLINT",C,3,IND,166944.79,0,136336.2,0,0,30608.59,1000,0,0,0,0,0,163194.79,AZ,05,,,,,,2750,0,09/30/2022,1050,0
H0AZ06084,"GENTLES, KARL E",C,1,DEM,0,0,0,0,2541.06,2541.36,0,0,0,0,0,0,0,AZ,06,,,,,,0,0,09/30/2022,0,0
H2AZ02311,"ENGEL, KIRSTEN",C,1,DEM,1973447.42,0,1771205.93,0,0,202241.49,7300,0,0,0,0,0,1861651.04,AZ,06,,,,,,103550,0,09/30/2022,5445,0
H2AZ02337,"URREA, MARCOS J",C,1,DEM,10608.37,0,9603.59,0,0,1004.78,2003,0,0,0,0,0,8105.29,AZ,06,,,,,,0,0,06/30/2022,0,0
H2AZ02345,"HERNANDEZ, DANIEL",O,1,DEM,1196072.75,0,1193639.86,0,0,2432.89,11120,0,0,0,0,0,1018594.75,AZ,06,,,,,,150450,12750,09/30/2022,53803,20900
H2AZ06213,"ULIS, ERIC",C,1,DEM,6568.6,0,6336.85,0,0,231.75,139.62,167.98,0,167.98,0,0,6261,AZ,06,,,,,,0,0,09/30/2021,0,0
H8AZ04165,"DISANTO, DELINA",C,1,DEM,177288.5,0,180734.7,0,5973.88,-7079.02,0,10600,0,0,0,0,166367.88,AZ,06,,,,,,250,0,09/30/2022,813,0
H8AZ08083,"TIPIRNENI, HIRAL VYAS",C,1,DEM,23790.47,0,58763.17,0,34972.7,0,0,0,0,49683.95,0,0,0,AZ,06,,,,,,0,0,03/31/2022,645,0
H0AZ01184,"FLAKE, JEFF MR.",C,2,REP,0,0,252716.17,0,1095111.05,842394.88,0,0,0,0,0,0,0,AZ,06,,,,,,0,0,09/30/2022,0,0
H2AZ02360,"CISCOMANI, JUAN",O,2,REP,2604300.99,257411.3,2246675.62,121756.77,0,357625.37,0,0,0,0,0,0,2032418.44,AZ,06,,,,,,307750,6500,09/30/2022,24724.55,2100
H2AZ02378,"WINN, KATHLEEN",O,2,REP,363264.01,750.25,346101.4,0,0,17162.61,48250,166300,0,0,0,200332.01,147963.76,AZ,06,,,,,,0,0,09/30/2022,21300,0
H2AZ06239,"KONCZAL, KEVIN",C,2,REP,12179.69,0,12179.69,0,0,0,0,2600,0,2600,0,0,9579.69,AZ,06,,,,,,0,0,10/15/2021,0,0
H2AZ06288,"TOWNSEND, KELLY",C,2,REP,21097.95,0,21097.95,0,0,0,1004.57,0,0,0,0,0,19897.34,AZ,06,,,,,,0,0,07/15/2022,10600,0
H2AZ06304,"MAYBERRY, YOUNG",C,2,REP,32099.34,0,25323.57,0,2052.37,-3747.74,0,0,0,0,0,0,32099.34,AZ,06,,,,,,0,0,07/13/2022,0,0
H4AZ06045,"SCHWEIKERT, DAVID S.",I,2,REP,1685086.92,200302.45,1500092.02,778.25,59582.15,244577.05,0,259630,0,16874.22,0,242755.78,858458.23,AZ,06,,,,,,366696.24,0,09/30/2022,21502.54,0
H2AZ02055,"PASTOR, ED L",C,1,DEM,0,0,94444.3,0,94444.3,0,0,0,0,0,0,0,0,AZ,07,,,,,,0,0,06/30/2021,0,0
H2AZ07070,"GRIJALVA, RAUL M",I,1,DEM,563598.96,0,426616.45,0,226208.67,363191.18,0,0,0,0,0,4015.59,392226.87,AZ,07,,,,,,160922,0,09/30/2022,3255.91,0
H2AZ07195,"BECKER, NINA",C,2,REP,-1309815.55,0,900.19,0,3041986.86,1731271.12,0,0,0,0,0,0,-1262849.95,AZ,07,,,,,,-35815.35,-11150.25,07/20/2022,0,0
H0AZ08072,"MUSCATO, MICHAEL ARCHANGEL",C,1,DEM,12211.66,0,35945.64,9796.44,10171.62,0,0,0,0,0,0,0,12211.66,AZ,08,,,,,,0,0,06/30/2021,0,0
H0AZ08080,"OLSEN, ROBERT",C,1,DEM,0,0,33578.2,0,33578.2,0,0,0,0,33578.2,0,0,0,AZ,08,,,,,,0,0,01/28/2022,0,0
H8AZ08158,"LESKO, DEBBIE",I,2,REP,1083286.05,54686.59,812680.32,0,688632.93,959238.66,0,0,0,0,0,0,654838.51,AZ,08,,,,,,364245.32,650,09/30/2022,1462.52,5051.82
H2AZ09019,"SINEMA, KYRSTEN",I,1,DEM,7309899.69,254394,1888765.82,0,2455741.18,7876875.05,0,0,0,0,0,0,5762104.32,AZ,09,,,,,,1293000,0,09/30/2022,183381.73,13500
H2AZ09027,"SCHAPIRA, DAVID",C,1,DEM,0,0,0,0,0,0,0,0,0,0,0,1464.07,0,AZ,09,,,,,,0,0,09/30/2022,0,0
H0AZ01259,"GOSAR, PAUL DR.",I,2,REP,747570.84,0,721938.94,0,13458.84,39380.74,0,0,0,0,0,0,695598.82,AZ,09,,,,,,51581,0,09/30/2022,9176.7,1000
